Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
41,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 B4,,7 September 2017,14:00
42,KSC,SES-11,SES-11,,,,F9 B4,,9 October 2017,12:37
43,KSC,Koreasat 5A,Koreasat 5A,,,,F9 FTB1031.2,,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,,,,F9 B4,,30 October 2017,19:34
45,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 FTB1035.2,,15 December 2017,15:36
46,CCAFS,Zuma,Zuma,,,,F9 FTB1036.2,,23 December 2017,01:27
47,CCAFS,GovSat-1,GovSat-1,,,,F9 B4,,8 January 2018,01:00
48,VAFB,Paz,Paz,,,,F9 FTB1032.2,,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,Hispasat 30W-6,,,,F9 FTB1038.2,,22 February 2018,14:17
50,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 B4,,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,SpaceX CRS-14,,,,F9 B4B1041.2,,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,Transiting Exoplanet Survey Satellite,,,,F9 B4B1039.2,,2 April 2018,20:30
53,KSC,Bangabandhu-1,Bangabandhu-1,,,,F9 B4,,18 April 2018,22:51
54,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 B5B1046.1,,11 May 2018,20:14
55,CCAFS,SES-12,SES-12,,,,F9 B4B1043.2,,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,SpaceX CRS-15,,,,F9 B4B1040.2,,4 June 2018,04:45
57,CCAFS,Telstar 19V,Telstar 19V,,,,F9 B4B1045.2,,29 June 2018,09:42
58,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 B5,,22 July 2018,05:50
59,CCAFS,Merah Putih,Merah Putih,,,,F9 B5B1048,,25 July 2018,11:39
60,CCAFS,Telstar 18V,Telstar 18V,,,,F9 B5B1046.2,,7 August 2018,05:18
61,VAFB,SAOCOM 1A,SAOCOM 1A,,,,F9 B5,,10 September 2018,04:45
62,KSC,Es'hail 2,Es'hail 2,,,,F9 B5B1048.2,,8 October 2018,02:22
63,VAFB,SSO-A,SSO-A,,,,F9 B5B1047.2,,15 November 2018,20:46
64,CCAFS,SpaceX CRS-16,SpaceX CRS-16,,,,F9 B5B1046.3,,3 December 2018,18:34:05
65,CCAFS,GPS III,GPS III,,,,F9 B5,,5 December 2018,18:16
66,VAFB,Iridium NEXT,Iridium NEXT,,,,F9 B5,,23 December 2018,13:51
67,CCAFS,Nusantara Satu,Nusantara Satu,,,,F9 B5B1049.2,,11 January 2019,15:31
68,KSC,Crew Dragon Demo-1,Crew Dragon Demo-1,,,,F9 B5B1048.3,,22 February 2019,01:45
69,CCAFS,SpaceX CRS-17,SpaceX CRS-17,,,,F9 B5[268],,2 March 2019,07:49
70,CCAFS,Starlink,Starlink,,,,F9 B5,,4 May 2019,06:48
71,VAFB,RADARSAT Constellation,RADARSAT Constellation,,,,F9 B5B1049.3,,24 May 2019,02:30
72,CCAFS,SpaceX CRS-18,SpaceX CRS-18,,,,F9 B5B1051.2,,12 June 2019,14:17
73,CCAFS,AMOS-17,AMOS-17,,,,F9 B5B1056.2,,25 July 2019,22:01
74,CCAFS,Starlink,Starlink,,,,F9 B5B1047.3,,6 August 2019,23:23
75,CCAFS,SpaceX CRS-19,SpaceX CRS-19,,,,F9 B5,,11 November 2019,14:56
76,CCAFS,JCSat-18,JCSat-18,,,,F9 B5,,5 December 2019,17:29
77,CCAFS,Starlink,Starlink,,,,F9 B5B1056.3,,17 December 2019,00:10
78,KSC,Crew Dragon in-flight abort test,Crew Dragon in-flight abort test,,,,F9 B5,,7 January 2020,02:19:21
79,CCAFS,Starlink,Starlink,,,,F9 B5,,19 January 2020,15:30
80,CCAFS,Starlink,Starlink,,,,F9 B5,,29 January 2020,14:07
81,CCAFS,SpaceX CRS-20,SpaceX CRS-20,,,,F9 B5,,17 February 2020,15:05
82,KSC,Starlink,Starlink,,,,F9 B5,,7 March 2020,04:50
83,KSC,Starlink,Starlink,,,,F9 B5,,18 March 2020,12:16
84,KSC,Crew Dragon Demo-2,Crew Dragon Demo-2,,,,F9 B5,,22 April 2020,19:30
85,CCAFS,Starlink,Starlink,,,,F9 B5,,30 May 2020,19:22
86,CCAFS,Starlink,Starlink,,,,F9 B5,,4 June 2020,01:25
87,CCAFS,GPS III,GPS III,,,,F9 B5,,13 June 2020,09:21
88,CCAFS,ANASIS-II,ANASIS-II,,,,F9 B5,,30 June 2020,20:10:46
89,KSC,Starlink,Starlink,,,,F9 B5B1058.2,,20 July 2020,21:30
90,CCAFS,Starlink,Starlink,,,,F9 B5,,7 August 2020,05:12
91,CCAFS,SAOCOM 1B,SAOCOM 1B,,,,F9 B5B1049.6,,18 August 2020,14:31
92,KSC,Starlink,Starlink,,,,F9 B5,,30 August 2020,23:18
93,KSC,Starlink,Starlink,,,,F9 B5B1060.2,,3 September 2020,12:46:14
94,KSC,Starlink,Starlink,,,,F9 B5B1058.3,,6 October 2020,11:29:34
95,CCAFS,Starlink,Starlink,,,,F9 B5B1051.6,,18 October 2020,12:25:57
96,CCAFS,GPS III,GPS III,,,,F9 B5,,24 October 2020,15:31:34
97,KSC,Crew-1,Crew-1,,,,F9 B5,,5 November 2020,23:24:23
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),Sentinel-6 Michael Freilich (Jason-CS A),,,,F9 B5,,16 November 2020,00:27
99,CCAFS,Starlink,Starlink,,,,F9 B5,,21 November 2020,17:17:08
100,KSC,SpaceX CRS-21,SpaceX CRS-21,,,,F9 B5 ♺,,25 November 2020,02:13
101,CCSFS,SXM-7,SXM-7,,,,F9 B5 ♺,,6 December 2020,16:17:08
102,KSC,NROL-108,NROL-108,,,,F9 B5 ♺,,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,Türksat 5A,,,,F9 B5 ♺,,19 December 2020,14:00:00
104,KSC,Starlink,Starlink,,,,F9 B5,,8 January 2021,02:15
105,CCSFS,Transporter-1,Transporter-1,,,,F9 B5B1051.8,,20 January 2021,13:02
106,CCSFS,Starlink,Starlink,,,,F9 B5B1058.5,,24 January 2021,15:00
1,CCSFS,Starlink,Starlink,,,,F9 B5 ♺,,4 February 2021,06:19
2,KSC,Starlink,Starlink,,,,F9 B5 ♺,,16 February 2021,03:59:37
3,CCSFS,Starlink,Starlink,,,,F9 B5 ♺,,4 March 2021,08:24
4,KSC,Starlink,Starlink,,,,F9 B5 ♺,,11 March 2021,08:13:29
5,CCSFS,Starlink,Starlink,,,,F9 B5 ♺,,14 March 2021,10:01
6,CCSFS,Starlink,Starlink,,,,F9 B5B1060.6,,24 March 2021,08:28
7,KSC,Crew-2,Crew-2,,,,F9 B5 ♺,,7 April 2021,16:34
8,CCSFS,Starlink,Starlink,,,,F9 B5B1061.2,,23 April 2021,9:49
9,KSC,Starlink,Starlink,,,,F9 B5B1060.7,,29 April 2021,03:44
10,CCSFS,Starlink,Starlink,,,,F9 B5B1049.9,,4 May 2021,19:01
11,KSC,Starlink,Starlink,,,,F9 B5B1051.10,,9 May 2021,06:42
12,CCSFS,Starlink,Starlink,,,,F9 B5B1058.8,,15 May 2021,22:56
13,KSC,SpaceX CRS-22,SpaceX CRS-22,,,,F9 B5B1063.2,,26 May 2021,18:59
14,CCSFS,SXM-8,SXM-8,,,,F9 B5B1067.1,,3 June 2021,17:29
15,,,,,,,F9 B5,,6 June 2021,04:26
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
